Task,Status,Assignee,Output Type,Link,Daily time required,Start,Deadline,Completed,Project,Project Status (from Project),Type,Availability,Predecessors,Additional Versions,DOI,DOI Service,Range,Photo (from Assignee),Is Overdue,Is Complete,Description,Order,Access_Metrics,Access_Metrics 2
Speculative Reading,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2V,,
and Egyptian Miracles of Mary (PEMM) Project Dataset,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2N,,
Princeton Ethiopian,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2L,,
Books,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2P,,
Missing Data,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2U,,
CDH Project Charter – Princeton Geniza Project Year 2,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2S,,
Eritrean,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2M,,
Events: v1.0,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2Q,,
2021-2022,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2T,,
Shakespeare and Company Project Dataset: Lending Library Members,,,,,,,,,,,,,,,,,#ERROR!,,Yes,,,b2O,,
 Derrida's Margins datasets: v1.1,Done,Rebecca Koeser,,https://doi.org/10.34770/8nc6-4418,,,,1/1/2024,🌐Derrida’s Margins,Completed Projects,Dataset,,,,10.34770/8nc6-4418,,#ERROR!,,,Yes,,b15,,3
CDH Project Charter – Derrida's Margins 2016-17,Done,"Natalia Ermolaev,Jean Bauer,Katie Chenoweth",,https://doi.org/10.5281/zenodo.3359144,,,,6/20/2016,🌐Derrida’s Margins,Completed Projects,Grey Literature,,,,10.5281/zenodo.3359144,Zenodo,#ERROR!,,,Yes,,b1U,,"4,5,127,131"
Derrida's Margins web archive,Released,Rebecca Koeser,,https://doi.org/10.34770/yw3y-ze12,,,,5/29/2024,🌐Derrida’s Margins,Completed Projects,WebArchive,,,,10.34770/yw3y-ze12,,#ERROR!,,Yes,Yes,,b10,,"1,2,107,108,195,196,197,198"
Derrida's Margins website,Released,Rebecca Koeser,,https://derridas-margins.princeton.edu/,,,,,🌐Derrida’s Margins,Completed Projects,Website,,,,https://derridas-margins.princeton.edu/,,#ERROR!,,Yes,Yes,,b1W,,"8,100,104"
"CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022",Done,,,https://doi.org/10.5281/zenodo.7841822,,,,10/21/2021,🌐Geniza,Affiliated Lab,Grey Literature,,,,10.5281/zenodo.7841822,Zenodo,#ERROR!,,,Yes,,b1Y,,"14,15,136,138"
CDH Project Charter – Princeton Geniza Project 2020-2021,Done,,,https://doi.org/10.5281/zenodo.4081714,,,,10/28/2020,🌐Geniza,Affiliated Lab,Grey Literature,,,,10.5281/zenodo.4081714,Zenodo,#ERROR!,,,Yes,,b1Z,,"16,17,126,128"
Geniza Data Essay,Done,,,,,,,,🌐Geniza,Affiliated Lab,Publication,,,,,,#ERROR!,,,Yes,,b1i,,
geniza,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.7347726,,,,11/22/2022,🌐Geniza,Affiliated Lab,Software Release,,,,10.5281/zenodo.7347726,Zenodo,#ERROR!,,Yes,Yes,,b0x,,"6,7,178,186"
annotorious-tahqiq,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.14888965,,,,10/6/2022,🌐Geniza,Affiliated Lab,Software Release,,,,10.5281/zenodo.14888965,Zenodo,#ERROR!,,Yes,Yes,,b0y,,"12,13,179,183"
Princeton Geniza Website,Released,Rebecca Koeser,,https://geniza.princeton.edu/en/,,,,,🌐Geniza,Affiliated Lab,Website,,,,https://geniza.princeton.edu/en/,,#ERROR!,,Yes,Yes,,b1b,,"11,98,105"
Geniza Datasets,Released,,,https://doi.org/10.5281/zenodo.15839055,,,,,🌐Geniza,Affiliated Lab,Dataset,,,,10.5281/zenodo.15839055,,#ERROR!,,Yes,Yes,,b1h,,
lenape-timetree,Done,,,https://doi.org/10.5281/zenodo.8040362,,,,6/24/2023,🌐Lunaapahkiing Princeton Timetree,Completed Projects,Software Release,,,,10.5281/zenodo.8040362,Zenodo,#ERROR!,,,Yes,,b1n,,
Walled Gardens Cambridge Elements volume,To do,"Rebecca Koeser,Mary Naydan,Meredith Martin",Tier 1 Faculty Publication,,,,8/27/2027,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,,,#ERROR!,,,,,b0t,,
PPA Full-text dataset data paper,To do,Rebecca Koeser,Tier 2 Collaborative Publication,,,,9/12/2025,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,,,#ERROR!,,Yes,,,b0p,,
PPA Found poems data paper,To do,"Laure Thompson,Rebecca Koeser",Tier 2 Collaborative Publication,,,,8/28/2026,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,,,#ERROR!,,,,,b0q,,
Annotation Data Set with Data Essay,To do,"Laure Thompson,Mary Naydan",Tier 2 Collaborative Publication,,,,8/28/2026,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration","Publication,Dataset",,,,,,#ERROR!,,,,,b0r,,
PPA Full Text Dataset and Metadata,To do,"Rebecca Koeser,Meredith Martin,Laure Thompson",Tier 2 Collaborative Publication,,,5/14/2025,9/12/2025,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Dataset,,,,,,05-14 → 09-12,,Yes,,,b23,,
PPA Found Poems Dataset,To do,"Laure Thompson,Rebecca Koeser,Meredith Martin",Tier 2 Collaborative Publication,,,,8/28/2026,,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Dataset,,,,,,#ERROR!,,,,,b24,,
Elizabeth Barrett Browning's Pathways through the PPA,Done,Meredith Martin,Tier 1 Faculty Publication,http://doi.org/10.5281/zenodo.8292322,,,,3/17/2019,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,10.5281/zenodo.8292322,Zenodo,#ERROR!,,,Yes,,b1T,,"28,65,164,168"
Coventry Patmore and the Problem of Excerpts,Done,Meredith Martin,Tier 1 Faculty Publication,https://doi.org/10.5281/zenodo.8292370,,,,3/5/2019,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,10.5281/zenodo.8292370,Zenodo,#ERROR!,,,Yes,,b1p,,"29,66,166,167"
Poetry's Data,Done,Meredith Martin,Tier 1 Faculty Publication,,,,,4/22/2025,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,,,#ERROR!,,,Yes,,b25,,
Princeton Prosody Archive: Rebuilding the Collection and User Interface,Done,"Meredith Martin,Mary Naydan,Meagan Wilson",Tier 1 Faculty Publication,https://doi.org/10.5281/zenodo.17049420,,,,6/26/2018,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.17049420,Zenodo,#ERROR!,,,Yes,,b2G,,
Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library,Done,"Rebecca Koeser,Mary Naydan",Tier 2 Collaborative Publication,https://doi.org/10.63744/cTWwVSItf41f,,,12/12/2025,11/21/2025,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Publication,,,,10.63744/cTWwVSItf41f,,#ERROR!,,,Yes,,b0m,,
Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,Done,"Meredith Martin,Meagan Wilson",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.3255052,,,,6/25/2019,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Dataset,,,,10.5281/zenodo.3255052,Zenodo,#ERROR!,,,Yes,,b1N,,"20,21,110,111"
Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,Done,"Mary Naydan,Rebecca Koeser,Meredith Martin",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.13850967,,,,8/9/2024,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.13850967,Zenodo,#ERROR!,,,Yes,,b1R,,"24,25,145,150"
Working around Walled Gardens: The Princeton Prosody Archive as Workflow,Done,"Mary Naydan,Rebecca Koeser,Meredith Martin",Tier 2 Collaborative Publication,https://doi.org/10.5281/zenodo.12575879,,,,6/27/2024,🌐Princeton Prosody Archive,"Active Legacy Project,Active Collaboration",Presentation / Poster,,,,10.5281/zenodo.12575879,Zenodo,#ERROR!,,,Yes,,b1S,,"26,27,146,148"
