ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider,Retrieved Date,Status
102,,,,,,,,,,2026-08-11,no-link
58,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,https://doi.org/10.5281/zenodo.6909568,,,2059,Views,Zenodo,2026-08-11,ok
90,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,https://doi.org/10.5281/zenodo.6909568,,,2735,Downloads,Zenodo,2026-08-11,ok
20,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,,819,Views,Zenodo,2026-08-11,ok
21,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,,401,Downloads,Zenodo,2026-08-11,ok
32,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,,616,Views,DataCommons,2026-08-11,ok
36,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/yj5r-0m59,,,80,Views,DataCommons,2026-08-11,ok
33,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,,69,Views,DataCommons,2026-08-11,ok
34,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,,61,Views,DataCommons,2026-08-11,ok
35,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,,29,Views,DataCommons,2026-08-11,ok
97,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/yj5r-0m59,,,29,Downloads,DataCommons,2026-08-11,ok
70,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,,21,Downloads,DataCommons,2026-08-11,ok
71,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,,11,Downloads,DataCommons,2026-08-11,ok
96,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,,12,Downloads,DataCommons,2026-08-11,ok
3,Derrida's Margins datasets: v1.1,🌐Derrida’s Margins,Dataset,https://doi.org/10.34770/8nc6-4418,,,14,Views,DataCommons,2026-08-11,ok
69,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,,24,Downloads,DataCommons,2026-08-11,ok
59,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,https://doi.org/10.5281/zenodo.3359177,,,1587,Views,Zenodo,2026-08-11,ok
91,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,https://doi.org/10.5281/zenodo.3359177,,,994,Downloads,Zenodo,2026-08-11,ok
