ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type
102,,,,,,,,
58,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,https://doi.org/10.5281/zenodo.6909568,,,,Views
90,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,https://doi.org/10.5281/zenodo.6909568,,,,Downloads
20,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,,,Views
21,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,,,Downloads
32,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,,,Views
36,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/yj5r-0m59,,,,Views
33,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,,,Views
34,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,,,Views
35,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,,,Views
97,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/yj5r-0m59,,,,Downloads
70,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,,,Downloads
71,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,,,Downloads
96,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,,,Downloads
3,Derrida's Margins datasets: v1.1,🌐Derrida’s Margins,Dataset,https://doi.org/10.34770/8nc6-4418,,,,Views
69,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,,,Downloads
59,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,https://doi.org/10.5281/zenodo.3359177,,,,Views
91,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,https://doi.org/10.5281/zenodo.3359177,,,,Downloads
30,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,https://doi.org/10.5281/zenodo.3359171,,,,Views
16,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.4081714,,,,Views
4,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,https://doi.org/10.5281/zenodo.3359144,,,,Views
17,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.4081714,,,,Downloads
45,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,https://doi.org/10.5281/zenodo.3359175,,,,Views
67,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,https://doi.org/10.5281/zenodo.3359171,,,,Downloads
5,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,https://doi.org/10.5281/zenodo.3359144,,,,Downloads
62,Simulating Risk Project Charter,Simulating Risks,Grey Literature,https://doi.org/10.5281/zenodo.8087661,,,,Views
49,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Grey Literature,https://doi.org/10.5281/zenodo.3359202,,,,Views
93,Simulating Risk Project Charter,Simulating Risks,Grey Literature,https://doi.org/10.5281/zenodo.8087661,,,,Downloads
78,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,https://doi.org/10.5281/zenodo.3359175,,,,Downloads
14,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.7841822,,,,Views
82,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Grey Literature,https://doi.org/10.5281/zenodo.3359202,,,,Downloads
15,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.7841822,,,,Downloads
57,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,https://doi.org/10.5281/zenodo.14861082,,,,Views
89,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,https://doi.org/10.5281/zenodo.14861082,,,,Downloads
43,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,https://doi.org/10.5281/zenodo.3277319,,,,Views
76,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,https://doi.org/10.5281/zenodo.3277319,,,,Downloads
64,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516240,,,,Views
95,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516240,,,,Downloads
24,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,,Views
26,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,,Views
85,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,,Downloads
27,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,,Downloads
83,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14907039,,,,Downloads
25,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,,Downloads
50,Project Management 101,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14907039,,,,Views
63,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516700,,,,Views
94,Simulating risk attitudes and rationality using agent-based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516700,,,,Downloads
52,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,,Views
40,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.32551,,,,Views
87,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,,Downloads
38,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116905,,,,Views
39,"""Missing Data, Speculative Reading""",🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116926,,,,Views
42,A Counterfactual Canon,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116915,,,,Views
56,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,,Views
54,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,,Views
74,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.32551,,,,Downloads
46,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00518,,,,Downloads
65,Elizabeth Barrett Browning's Pathways through the PPA,🌐Princeton Prosody Archive,Publication,http://doi.org/10.5281/zenodo.8292322,,,,Downloads
47,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00519,,,,Downloads
29,Coventry Patmore and the Problem of Excerpts,🌐Princeton Prosody Archive,Publication,https://doi.org/10.5281/zenodo.8292370,,,,Views
66,Coventry Patmore and the Problem of Excerpts,🌐Princeton Prosody Archive,Publication,https://doi.org/10.5281/zenodo.8292370,,,,Downloads
28,Elizabeth Barrett Browning's Pathways through the PPA,🌐Princeton Prosody Archive,Publication,http://doi.org/10.5281/zenodo.8292322,,,,Views
73,"""Missing Data, Speculative Reading""",🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116926,,,,Downloads
72,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116905,,,,Downloads
75,A Counterfactual Canon,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116915,,,,Downloads
79,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00518,,,,Citation Count
80,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00519,,,,Citation Count
41,Shakespeare and Company Project,🌐Shakespeare and Company,Publication,https://doi.org/10.21428/51bee781.13f8c789,,,,Citation Count
