ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider
102,,,,,,,,,
58,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,https://doi.org/10.5281/zenodo.6909568,,,,Views,Zenodo
90,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Dataset,https://doi.org/10.5281/zenodo.6909568,,,,Downloads,Zenodo
20,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,,,Views,Zenodo
21,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,🌐Princeton Prosody Archive,Dataset,https://doi.org/10.5281/zenodo.3255052,,,,Downloads,Zenodo
32,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,,,Views,DataCommons
36,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/yj5r-0m59,,,,Views,DataCommons
33,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,,,Views,DataCommons
34,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,,,Views,DataCommons
35,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,,,Views,DataCommons
97,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/yj5r-0m59,,,,Downloads,DataCommons
70,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/8c2s-a169,,,,Downloads,DataCommons
71,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/nz90-ym25,,,,Downloads,DataCommons
96,"""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0""",🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/dtqa-2981,,,,Downloads,DataCommons
3,Derrida's Margins datasets: v1.1,🌐Derrida’s Margins,Dataset,https://doi.org/10.34770/8nc6-4418,,,,Views,DataCommons
69,Shakespeare and Company Project Datasets: v2.0,🌐Shakespeare and Company,Dataset,https://doi.org/10.34770/kf6c-b079,,,,Downloads,DataCommons
59,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,https://doi.org/10.5281/zenodo.3359177,,,,Views,Zenodo
91,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Grey Literature,https://doi.org/10.5281/zenodo.3359177,,,,Downloads,Zenodo
30,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,https://doi.org/10.5281/zenodo.3359171,,,,Views,Zenodo
16,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.4081714,,,,Views,Zenodo
4,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,https://doi.org/10.5281/zenodo.3359144,,,,Views,Zenodo
17,CDH Project Charter – Princeton Geniza Project 2020-2021,🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.4081714,,,,Downloads,Zenodo
45,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,https://doi.org/10.5281/zenodo.3359175,,,,Views,Zenodo
67,CDH Project Charter — Princeton Prosody Archive 2017-18,🌐Princeton Prosody Archive,Grey Literature,https://doi.org/10.5281/zenodo.3359171,,,,Downloads,Zenodo
5,CDH Project Charter – Derrida's Margins 2016-17,🌐Derrida’s Margins,Grey Literature,https://doi.org/10.5281/zenodo.3359144,,,,Downloads,Zenodo
62,Simulating Risk Project Charter,Simulating Risks,Grey Literature,https://doi.org/10.5281/zenodo.8087661,,,,Views,Zenodo
49,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Grey Literature,https://doi.org/10.5281/zenodo.3359202,,,,Views,Zenodo
93,Simulating Risk Project Charter,Simulating Risks,Grey Literature,https://doi.org/10.5281/zenodo.8087661,,,,Downloads,Zenodo
78,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,https://doi.org/10.5281/zenodo.3359175,,,,Downloads,Zenodo
14,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.7841822,,,,Views,Zenodo
82,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Grey Literature,https://doi.org/10.5281/zenodo.3359202,,,,Downloads,Zenodo
15,"""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022""",🌐Geniza,Grey Literature,https://doi.org/10.5281/zenodo.7841822,,,,Downloads,Zenodo
57,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,https://doi.org/10.5281/zenodo.14861082,,,,Views,Zenodo
89,Citing Marx Project Charter,Marxism’s Marx,Grey Literature,https://doi.org/10.5281/zenodo.14861082,,,,Downloads,Zenodo
43,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,https://doi.org/10.5281/zenodo.3277319,,,,Views,Zenodo
76,Documents to Data: the evolution of approaches to a library archive,🌐Shakespeare and Company,Presentation / Poster,https://doi.org/10.5281/zenodo.3277319,,,,Downloads,Zenodo
64,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516240,,,,Views,Zenodo
95,Theorizing risk attitudes and rationality using agent based modeling,Simulating Risks,Presentation / Poster,https://doi.org/10.5281/zenodo.14516240,,,,Downloads,Zenodo
24,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.13850967,,,,Views,Zenodo
26,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,🌐Princeton Prosody Archive,Presentation / Poster,https://doi.org/10.5281/zenodo.12575879,,,,Views,Zenodo
85,Modeling Project Management through Charters,Internal Projects / PM and Process,Presentation / Poster,https://doi.org/10.5281/zenodo.14516760,,,,Downloads,Zenodo
