output_id,output_name,project,type,status,assignee,link,doi_service,completed_date,availability,description,alt_id,source,zenodo_concept,zotero_key
o016,mep-django,Shakespeare and Company,Software Release,Released,Rebecca Koeser,https://doi.org/10.5281/zenodo.3834178,Zenodo,5/19/2020,,,,zenodo,3834178,
o021,Shakespeare and Company Project Datasets: v2.0,Shakespeare and Company,Dataset,Done,Rebecca Koeser,https://doi.org/10.34770/kf6c-b079,,2/24/2025,,,,manual,,4EG4I3MV
o024,"Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0",Shakespeare and Company,Dataset,Done,Rebecca Koeser,https://doi.org/10.34770/dtqa-2981,,1/1/2020,,,,manual,,DU7JRN5H
o025,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,Shakespeare and Company,Dataset,Done,Rebecca Koeser,https://doi.org/10.34770/8c2s-a169,,1/1/2020,,,,manual,,UBCZTDLA
o026,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,Shakespeare and Company,Dataset,Done,Rebecca Koeser,https://doi.org/10.34770/nz90-ym25,,1/1/2020,,,,manual,,I7XCYDAW
o027,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,Shakespeare and Company,Dataset,Done,Rebecca Koeser,https://doi.org/10.34770/yj5r-0m59,,1/1/2020,,,,manual,,PGU36XZ5
o045,Shakespeare and Company Website,Shakespeare and Company,Website,Released,Rebecca Koeser,https://shakespeareandco.princeton.edu/,,,,,,manual,,
o048,The World of Shakespeare and Company: An Introduction,Shakespeare and Company,Publication,Done,"Rebecca Koeser,Joshua Kotin",https://doi.org/10.22148/001c.116905,,5/29/2024,,,,manual,,VX2NBPVX
o049,"Missing Data, Speculative Reading",Shakespeare and Company,Publication,Done,"Rebecca Koeser,Zoe LeBlanc",https://doi.org/10.22148/001c.116926,,5/29/2024,,,,manual,,AZQ8QSMZ
o050,Shakespeare and Company Project Data Sets,Shakespeare and Company,Publication,Done,"Rebecca Koeser,Joshua Kotin",https://doi.org/10.22148/001c.32551,,2/9/2022,,,,manual,,HTSN7NXQ
o051,Shakespeare and Company Project,Shakespeare and Company,Publication,Done,"Rebecca Koeser,Joshua Kotin",https://doi.org/10.21428/51bee781.13f8c789,,2/25/2021,,,,manual,,IKTKR57K
o067,A Counterfactual Canon,Shakespeare and Company,Publication,Done,Joshua Kotin,https://doi.org/10.22148/001c.116915,,5/29/2024,,,,manual,,KSNW237Z
o071,Documents to Data: the evolution of approaches to a library archive,Shakespeare and Company,Presentation / Poster,Done,"Rebecca Koeser,Rebecca Munson,Joshua Kotin",https://doi.org/10.5281/zenodo.3277319,Zenodo,7/23/2019,,,,zenodo,,CEXCJP42
o076,"Shakespeare and Company Project Data Sets, Version 2.0",Shakespeare and Company,Publication,Done,"Rebecca Koeser,Joshua Kotin",https://doi.org/10.22148/jca.1114,,5/8/2026,,,,manual,,83VZX6XK
o011,corppa,Princeton Prosody Archive,Software Release,Released,"Rebecca Koeser,Laure Thompson",https://doi.org/10.5281/zenodo.15312547,Zenodo,4/30/2025,,,,zenodo,15312547,
