source,upstream_key,decision,output_id,decided_date,title
zenodo,17109457,keep,o097,2026-08-12,Attribution Bias in Literary Style Evaluation: Comparing Human and AI Perceptions of Authorship
zenodo,16876911,keep,o098,2026-08-12,"Teaching Critical AI Literacy through ""Lab""-Based Learning"
zenodo,14537978,keep,o099,2026-08-12,Time Horizons of Futuristic Fiction [poster]
zenodo,14518294,keep,o100,2026-08-12,Evaluating Augmented Training Data for Complex Document Layouts: the Case of Arabic Scientific Manuscripts
zenodo,14516829,skip,,2026-08-12,Versions and Values: Exploring DH Coding Communities and Practices on GitHub
zenodo,14516551,keep,o101,2026-08-12,Computational Approaches to Nigerian Literature: Analyzing Texts in Yoruba and Efik
zenodo,14516179,keep,o102,2026-08-12,Charting the Evolution of Topics and Ideas in the Princeton Prosody Archive
zenodo,8380841,skip,,2026-08-12,Of Sonorous Medieval Chinese Texts and NLP Model Training
zenodo,8380877,skip,,2026-08-12,Toward a Deep Map of Chang'an: Some Reflections of a (Beginning) Practitioner
zenodo,6567965,skip,,2026-08-12,Sobre los loros que hablan español
zenodo,6567480,skip,,2026-08-12,Mapping the Latent Spaces of Culture
zenodo,6567984,skip,,2026-08-12,Are Large Language Models Our Limit Case?
zenodo,4160135,skip,,2026-08-12,Princeton-CDH/startwords: Issue 2
zenodo,5750692,skip,,2026-08-12,Creating and Recreating Virtual Community on Douglass Day
zenodo,5750694,skip,,2026-08-12,Serendipity in the Cairo Geniza
zenodo,5750678,skip,,2026-08-12,"""Strangers in the Landscape"": On Research Development and Making Things for Making"
zenodo,3374002,keep,o103,2026-08-12,Annual Report 2018-2019: Cultivating Princeton's Data Landscape
