output_id,output_name,project,metric_type,year,lifetime_count,yearly_delta
o110,"""Strangers in the Landscape"": On Research Development and Making Things for Making",,Citation Count,2024,1,
o110,"""Strangers in the Landscape"": On Research Development and Making Things for Making",,Citation Count,2025,1,0
o110,"""Strangers in the Landscape"": On Research Development and Making Things for Making",,Citation Count,2026,1,0
o106,Are Large Language Models Our Limit Case?,,Citation Count,2024,1,
o106,Are Large Language Models Our Limit Case?,,Citation Count,2025,1,0
o106,Are Large Language Models Our Limit Case?,,Citation Count,2026,2,1
o105,Mapping the Latent Spaces of Culture,,Citation Count,2024,3,
o105,Mapping the Latent Spaces of Culture,,Citation Count,2025,4,1
o105,Mapping the Latent Spaces of Culture,,Citation Count,2026,4,0
o063,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Downloads,2025,849,
o063,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Downloads,2026,2735,1886
o063,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Views,2025,1359,
o063,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset""","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Views,2026,2059,700
o064,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Downloads,2025,830,
o064,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Downloads,2026,994,164
o064,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Views,2025,1262,
o064,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project""",Views,2026,1587,325
o086,Community Code Review in the Digital Humanities,DH Tech,Downloads,2026,154,
o086,Community Code Review in the Digital Humanities,DH Tech,Views,2026,223,
o096,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Downloads,2026,264,
o096,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Views,2026,434,
o072,Data Beyond Vision,Data Physicalization,Downloads,2026,277,
o072,Data Beyond Vision,Data Physicalization,Views,2026,491,
o069,What If You Could Touch Data?,Data Physicalization,Downloads,2026,,
o069,What If You Could Touch Data?,Data Physicalization,Views,2026,,
o042,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Downloads,2025,119,
o042,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Downloads,2026,171,52
o042,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Views,2025,245,
o042,"""""""Built by CDH"""" Long Term Software Agreement""",Internal Projects / PM and Process,Views,2026,329,84
o061,Data Beyond Vision,Internal Projects / PM and Process,Citation Count,2024,1,
o061,Data Beyond Vision,Internal Projects / PM and Process,Citation Count,2025,1,0
o061,Data Beyond Vision,Internal Projects / PM and Process,Citation Count,2026,2,1
o061,Data Beyond Vision,Internal Projects / PM and Process,Downloads,2025,697,
o061,Data Beyond Vision,Internal Projects / PM and Process,Downloads,2026,1105,408
o061,Data Beyond Vision,Internal Projects / PM and Process,Views,2025,503,
o061,Data Beyond Vision,Internal Projects / PM and Process,Views,2026,696,193
o055,Modeling Project Management through Charters,Internal Projects / PM and Process,Downloads,2025,78,
o055,Modeling Project Management through Charters,Internal Projects / PM and Process,Downloads,2026,559,481
o055,Modeling Project Management through Charters,Internal Projects / PM and Process,Views,2025,40,
o055,Modeling Project Management through Charters,Internal Projects / PM and Process,Views,2026,119,79
o047,Project Management 101,Internal Projects / PM and Process,Downloads,2025,58,
o047,Project Management 101,Internal Projects / PM and Process,Downloads,2026,582,524
o047,Project Management 101,Internal Projects / PM and Process,Views,2025,53,
o047,Project Management 101,Internal Projects / PM and Process,Views,2026,195,142
o057,django-pucas,Internal Projects / PM and Process,Downloads,2025,5,
o057,django-pucas,Internal Projects / PM and Process,Downloads,2026,44,39
o057,django-pucas,Internal Projects / PM and Process,Views,2025,19,
o057,django-pucas,Internal Projects / PM and Process,Views,2026,207,188
o018,djiffy,Internal Projects / PM and Process,Downloads,2025,16,
o018,djiffy,Internal Projects / PM and Process,Downloads,2026,104,88
o018,djiffy,Internal Projects / PM and Process,Views,2025,78,
o018,djiffy,Internal Projects / PM and Process,Views,2026,420,342
o054,piffle,Internal Projects / PM and Process,Downloads,2025,11,
o054,piffle,Internal Projects / PM and Process,Downloads,2026,98,87
o054,piffle,Internal Projects / PM and Process,Views,2025,38,
o054,piffle,Internal Projects / PM and Process,Views,2026,435,397
o001,Citing Marx Project Charter,Marxism’s Marx,Downloads,2025,64,
o001,Citing Marx Project Charter,Marxism’s Marx,Downloads,2026,250,186
o001,Citing Marx Project Charter,Marxism’s Marx,Views,2025,72,
o001,Citing Marx Project Charter,Marxism’s Marx,Views,2026,308,236
o092,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,Music Theory in the Plural,Downloads,2026,84,
o092,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,Music Theory in the Plural,Views,2026,129,
o029,HTR2HPC Project Charter,Open HTR,Downloads,2026,,
o029,HTR2HPC Project Charter,Open HTR,Views,2026,,
o033,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Open HTR,Downloads,2026,233,
o033,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Open HTR,Views,2026,180,
o090,CDH Project Management Tools and Templates,Project Management and Documentation,Downloads,2026,0,
o090,CDH Project Management Tools and Templates,Project Management and Documentation,Views,2026,5,
