output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o016,https://doi.org/10.5281/zenodo.3834178,mep-django,Shakespeare and Company,Software Release,Citation Count,1,2026-08-20,ok
o016,https://doi.org/10.5281/zenodo.3834178,mep-django,Shakespeare and Company,Software Release,Views,362,2026-08-20,ok
o016,https://doi.org/10.5281/zenodo.3834178,mep-django,Shakespeare and Company,Software Release,Downloads,115,2026-08-20,ok
o021,https://doi.org/10.34770/kf6c-b079,Shakespeare and Company Project Datasets: v2.0,Shakespeare and Company,Dataset,Citation Count,2,2026-08-20,ok
o021,https://doi.org/10.34770/kf6c-b079,Shakespeare and Company Project Datasets: v2.0,Shakespeare and Company,Dataset,Views,,2026-08-20,manual
o021,https://doi.org/10.34770/kf6c-b079,Shakespeare and Company Project Datasets: v2.0,Shakespeare and Company,Dataset,Downloads,,2026-08-20,manual
o024,https://doi.org/10.34770/dtqa-2981,"Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0",Shakespeare and Company,Dataset,Citation Count,1,2026-08-20,ok
o024,https://doi.org/10.34770/dtqa-2981,"Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0",Shakespeare and Company,Dataset,Views,,2026-08-20,manual
o024,https://doi.org/10.34770/dtqa-2981,"Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0",Shakespeare and Company,Dataset,Downloads,,2026-08-20,manual
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,Shakespeare and Company,Dataset,Citation Count,3,2026-08-20,ok
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,Shakespeare and Company,Dataset,Views,,2026-08-20,manual
o025,https://doi.org/10.34770/8c2s-a169,Shakespeare and Company Project Dataset: Lending Library Members: v1.0,Shakespeare and Company,Dataset,Downloads,,2026-08-20,manual
o026,https://doi.org/10.34770/nz90-ym25,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,Shakespeare and Company,Dataset,Views,,2026-08-20,manual
o026,https://doi.org/10.34770/nz90-ym25,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,Shakespeare and Company,Dataset,Downloads,,2026-08-20,manual
o027,https://doi.org/10.34770/yj5r-0m59,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,Shakespeare and Company,Dataset,Views,,2026-08-20,manual
o027,https://doi.org/10.34770/yj5r-0m59,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,Shakespeare and Company,Dataset,Downloads,,2026-08-20,manual
o045,https://shakespeareandco.princeton.edu/,Shakespeare and Company Website,Shakespeare and Company,Website,Views,,2026-08-20,manual
o045,https://shakespeareandco.princeton.edu/,Shakespeare and Company Website,Shakespeare and Company,Website,Downloads,,2026-08-20,manual
o048,https://doi.org/10.22148/001c.116905,The World of Shakespeare and Company: An Introduction,Shakespeare and Company,Publication,Citation Count,2,2026-08-20,ok
o048,https://doi.org/10.22148/001c.116905,The World of Shakespeare and Company: An Introduction,Shakespeare and Company,Publication,Views,,2026-08-20,manual
o048,https://doi.org/10.22148/001c.116905,The World of Shakespeare and Company: An Introduction,Shakespeare and Company,Publication,Downloads,,2026-08-20,manual
o049,https://doi.org/10.22148/001c.116926,"Missing Data, Speculative Reading",Shakespeare and Company,Publication,Citation Count,6,2026-08-20,ok
o049,https://doi.org/10.22148/001c.116926,"Missing Data, Speculative Reading",Shakespeare and Company,Publication,Views,,2026-08-20,manual
o049,https://doi.org/10.22148/001c.116926,"Missing Data, Speculative Reading",Shakespeare and Company,Publication,Downloads,,2026-08-20,manual
o050,https://doi.org/10.22148/001c.32551,Shakespeare and Company Project Data Sets,Shakespeare and Company,Publication,Citation Count,9,2026-08-20,ok
o050,https://doi.org/10.22148/001c.32551,Shakespeare and Company Project Data Sets,Shakespeare and Company,Publication,Views,,2026-08-20,manual
o050,https://doi.org/10.22148/001c.32551,Shakespeare and Company Project Data Sets,Shakespeare and Company,Publication,Downloads,,2026-08-20,manual
o051,https://doi.org/10.21428/51bee781.13f8c789,Shakespeare and Company Project,Shakespeare and Company,Publication,Citation Count,3,2026-08-20,ok
o051,https://doi.org/10.21428/51bee781.13f8c789,Shakespeare and Company Project,Shakespeare and Company,Publication,Views,,2026-08-20,manual
o051,https://doi.org/10.21428/51bee781.13f8c789,Shakespeare and Company Project,Shakespeare and Company,Publication,Downloads,,2026-08-20,manual
